SME_ID,industry,business_age,employee_count,base_revenue,debt_ratio,loan_amount,interest_rate,duration
0,Services,7.008802875397286,15,44056.8426976308,0.21059613195978222,111338.40790177946,0.08105961319597822,15
1,Manufacturing,17.807054962693066,35,200616.20436932988,0.10795583215923132,259892.27144780912,0.09079558321592313,30
2,Services,5.5033391955200885,13,163676.82930319692,0.38697245800541114,760061.0994478826,0.09869724580054111,16
3,Services,7.725757221386717,10,147398.93852860157,0.3312757805164649,585956.3809003311,0.0931275780516465,39
4,Retail,1.0601008832537573,10,267812.97651638347,0.08969046041398664,288243.2300231355,0.07896904604139866,24
5,Agriculture,11.543560907691404,7,86599.87644588274,0.06788651556982356,70547.56632825857,0.08678865155698236,35
6,Services,4.554118214607097,7,316396.15621705935,0.05408122427303865,205333.0978020259,0.06540812242730387,24
7,Services,1.563871267631264,10,134779.86936916877,0.23738891647153887,383942.9658206703,0.08373889164715388,45
8,Retail,11.240406009164056,8,259368.70013724087,0.40489138642123634,1260193.8311140966,0.11048913864212365,21
9,Manufacturing,4.712452224678313,49,45214.4939422454,0.19413707484473666,105333.71513439104,0.09941370748447367,16
10,Manufacturing,9.990815636579182,52,174839.16691945007,0.3580479525085688,751209.6688057559,0.11580479525085688,36
11,Agriculture,19.107144326148315,3,29814.372904124662,0.08500760936381732,30413.382783132107,0.08850076093638173,23
12,Tech,1.1914813796043815,14,427831.607007932,0.099171159232503,509142.67707937525,0.09991711592325031,16
13,Services,2.599755541197112,6,179314.89016820918,0.20142668796304405,433425.6531484726,0.0801426687963044,38
14,Manufacturing,8.771691924612222,54,113785.07308573343,0.2392898035483098,326731.2934249827,0.10392898035483099,30
15,Retail,4.967935544380039,10,218148.15817201103,0.1960488104975479,513212.2430622444,0.0896048810497548,20
16,Tech,0.5,13,136078.8040235575,0.30981193759717224,505906.0552853307,0.12098119375971722,36
17,Retail,3.6512372218422895,10,58210.49788057968,0.13345573534835004,93222.29759575598,0.08334557353483502,23
18,Services,4.154944587966568,12,123869.6146641903,0.03473614179230731,51633.02998480539,0.06347361417923073,25
19,Tech,4.7171655485844095,13,101020.00189432404,0.18753474107796597,227337.1187873723,0.1087534741077966,47
20,Services,2.5144094955938625,6,74855.95132065527,0.3543604817259121,318311.89164046594,0.0954360481725912,26
21,Manufacturing,13.593624329660685,52,89947.11146443963,0.03286141956629188,35469.47722330767,0.08328614195662919,21
22,Agriculture,1.0615762400229547,6,115995.38499578815,0.02396356145067998,33355.95043610222,0.082396356145068,41
23,Services,6.638137756515464,14,316781.49514554866,0.16630706857209068,632196.0220264822,0.07663070685720906,14
24,Services,3.1013294748647517,9,342635.2818637403,0.24302384048840864,999222.5050242547,0.08430238404884087,34
25,Retail,2.9090983548622855,8,218607.21832361163,0.27406166842002894,718942.3077891662,0.0974061668420029,43
26,Manufacturing,12.375739074010006,60,432009.57040905696,0.13946141874201687,722984.0111925157,0.0939461418742017,41
27,Retail,3.975666921201925,9,528606.6221595115,0.3563530261666142,2260446.8334990474,0.10563530261666142,24
28,Retail,6.666265471461775,9,1093918.4103414682,0.11352721255921058,1490274.0947192353,0.08135272125592106,19
29,Services,9.197998469848118,12,65623.02960648523,0.6165964395881661,485555.11692417134,0.12165964395881661,24
30,Services,5.148547103997683,8,282609.94424568856,0.262464414315508,890100.6419541962,0.0862464414315508,14
31,Agriculture,12.494625136290681,5,276230.23322509753,0.21392939217629248,709125.1907347275,0.10139293921762925,20
32,Manufacturing,1.4040810809001631,43,195525.241221895,0.13170249416393953,309013.943291154,0.09317024941639396,15
33,Manufacturing,6.971859152677099,47,93734.587344488,0.0865949895135004,97403.3472977787,0.08865949895135004,47
34,Manufacturing,17.9354078839435,44,285990.2057870397,0.359049947089573,1232217.2190716723,0.11590499470895729,29
35,Retail,6.540689188554793,10,649413.085921535,0.2939993913751366,2291124.624143767,0.09939993913751367,18
36,Retail,0.804887742546857,10,527481.8752807608,0.2448981960397908,1550152.316399331,0.09448981960397909,48
37,Manufacturing,7.155580137910805,54,493643.8498360359,0.1625527700709942,962918.1026322905,0.09625527700709942,15
38,Retail,13.973616809692878,8,164016.27701471816,0.13625740639022543,268181.1901416749,0.08362574063902255,42
39,Services,3.6911378922184648,3,23205.645485343568,0.24151591656296253,67254.39286593511,0.08415159165629625,18
40,Manufacturing,3.6533847752418023,49,157265.51548750684,0.1846967415110645,348557.1391512043,0.09846967415110645,31
41,Services,8.518577294000641,10,97062.75749059378,0.050318778477351715,58608.95271084119,0.06503187784773518,12
42,Services,7.432396906884152,7,936837.1069171622,0.1549433379320264,1741880.0213319333,0.07549433379320264,48
43,Manufacturing,5.297229150676708,38,165113.00561213022,0.2622512411004172,519613.0877232156,0.10622512411004173,38
44,Services,2.6807025287869624,12,119927.69636671836,0.3708747491997178,533737.8517452789,0.09708747491997179,26
45,Services,3.3593736053877925,4,159903.46924658274,0.3251593051410579,623929.2113983604,0.0925159305141058,43
46,Manufacturing,2.010236729670779,58,236391.2152258448,0.3701560331229241,1050019.613917273,0.11701560331229241,31
47,Retail,0.7023652763948933,7,144831.90961724328,0.10280311643362856,178670.06001223475,0.08028031164336286,37
48,Services,11.550090605902053,8,148890.69377766855,0.2363655653950334,422311.59620180895,0.08363655653950335,22
49,Retail,8.853842585076007,5,352113.8174483668,0.17651707162744895,745849.199226574,0.08765170716274491,14
50,Retail,8.228956019151493,8,39340.28916315942,0.21987524914013282,103799.47057193454,0.09198752491401328,33
51,Retail,8.117276479235944,5,257865.5519013019,0.4458602364397246,1379663.9512844945,0.11458602364397247,13
52,Services,4.264041011874308,5,107144.26744783686,0.047483833337016654,61051.446462117885,0.06474838333370167,42
53,Services,3.809261358636695,7,373818.18102413445,0.035276191744786745,158242.58197793723,0.06352761917447868,20
54,Services,1.5799553928870083,9,138570.18537073527,0.14282924786328643,237502.50423333957,0.07428292478632864,22
55,Services,9.392443085821348,12,86356.75345211598,0.19700097885521006,204148.37952989867,0.079700097885521,14
