date,amount
2025-01-03,3000.00
2025-01-06,-185.40
2025-01-12,-120.00
2025-01-17,-62.50
2025-01-22,-95.00
2025-01-28,-800.00
2025-01-30,-210.30
2025-02-04,3050.00
2025-02-08,-192.10
2025-02-11,-118.50
2025-02-16,-70.00
2025-02-21,-88.90
2025-02-28,-800.00
2025-02-28,-235.60
2025-03-05,2950.00
2025-03-09,-178.20
2025-03-13,-122.30
2025-03-18,-64.40
2025-03-23,-96.00
2025-03-28,-800.00
2025-03-29,-205.00
2025-04-03,3100.00
2025-04-07,-190.00
2025-04-10,-125.00
2025-04-15,-68.00
2025-04-20,-92.50
2025-04-28,-800.00
2025-04-30,-220.00
2025-05-03,3000.00
2025-05-07,-186.70
2025-05-11,-119.80
2025-05-16,-66.10
2025-05-21,-93.40
2025-05-28,-800.00
2025-05-29,-212.90
2025-06-04,3050.00
2025-06-08,-195.30
2025-06-12,-121.60
2025-06-17,-63.50
2025-06-22,-97.20
2025-06-28,-800.00
2025-06-30,-230.10
2025-07-03,3200.00
2025-07-06,-188.00
2025-07-10,-123.00
2025-07-15,-69.00
2025-07-20,-91.00
2025-07-28,-800.00
2025-07-31,-215.00
2025-08-05,3150.00
2025-08-08,-193.00
2025-08-12,-126.50
2025-08-17,-65.00
2025-08-22,-98.50
2025-08-28,-800.00
2025-08-30,-225.50
2025-09-03,3000.00
2025-09-06,-184.00
2025-09-11,-120.50
2025-09-16,-62.00
2025-09-21,-95.50
2025-09-28,-800.00
2025-09-30,-210.00
2025-10-04,3050.00
2025-10-08,-191.20
2025-10-12,-118.90
2025-10-17,-67.30
2025-10-22,-92.80
2025-10-28,-800.00
2025-10-30,-236.40
2025-11-03,2950.00
2025-11-07,-179.60
2025-11-11,-123.40
2025-11-16,-64.80
2025-11-21,-96.30
2025-11-28,-800.00
2025-11-29,-206.20
2025-12-05,3100.00
2025-12-09,-189.50
2025-12-13,-125.20
2025-12-18,-68.40
2025-12-22,-93.10
2025-12-28,-800.00
2025-12-30,-221.70
